gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD4_S37_L002,53-CD4_S39_L002,55-CD4_S41_L002,56-CD4_S43_L002
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,4590.60670189945,2.452055306607259,0.11643517081949319,21.059404038738645,1.875188319380585e-98,1.8386221471526636e-94,1375,1424,7217,8782
ENSMUSG00000001020,S100a4,20198,S100 calcium binding protein A4,3203.311653999381,2.4110684331868133,0.14236388658498467,16.93595539587574,2.4435858326045504e-64,1.1979679544343808e-60,1037,960,5126,5968
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,6115.604645513605,3.2309959854811954,0.195251470823996,16.547870148408187,1.6586758030647483e-61,5.421105416349953e-58,1095,1231,8415,14704
ENSMUSG00000068220,Lgals1,16852,"lectin, galactose binding, soluble 1",7218.717609730089,1.534768975448514,0.10512526853508182,14.599429773978075,2.832041687208554e-48,6.942042185769968e-45,3541,3771,9892,12245
ENSMUSG00000030114,Klrg1,50928,"killer cell lectin-like receptor subfamily G, member 1",566.2166701886547,3.3529140198238663,0.2684991097694507,12.48761689639447,8.722741762217462e-36,1.7105296595708445e-32,101,98,1047,1063
ENSMUSG00000020522,Mfap3,216760,microfibrillar-associated protein 3,480.67023480668064,4.923572780808684,0.42201578607247225,11.666797649041415,1.8838157095755378e-31,3.078468838731358e-28,19,42,1056,828
ENSMUSG00000027907,S100a11,20195,S100 calcium binding protein A11,4540.1685519459315,1.3703702146895744,0.12315110198276642,11.127551378966482,9.213162673946885e-29,1.290500857400703e-25,2499,2495,5959,7559
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),362.06480907768844,4.053381504454845,0.36601822978150617,11.074261265277697,1.672538036216714e-28,2.04990443063811e-25,44,37,555,867
ENSMUSG00000040929,Rfx3,19726,"regulatory factor X, 3 (influences HLA class II expression)",414.2620590694147,-3.252973935099507,0.2999069851635382,-10.846609435674438,2.069607767461404e-27,2.0292504159959063e-24,700,781,81,80
ENSMUSG00000005410,Mcm5,17218,minichromosome maintenance complex component 5,3181.4104880281357,1.33904901304119,0.12504683914332496,10.70837953373945,9.297496474829341e-27,8.287450266881972e-24,1737,1820,4367,5009
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,2865.730502057127,2.8647345598434333,0.27199560881412793,10.532282386224443,6.132912573657809e-26,5.0111006487262354e-23,508,868,3773,6779
ENSMUSG00000047898,Ccr4,12773,chemokine (C-C motif) receptor 4,1357.321847462956,2.522828263817885,0.2440104549617182,10.33901708930333,4.693264252964979e-25,3.539804307717048e-22,465,324,2196,2561
ENSMUSG00000020914,Top2a,21973,topoisomerase (DNA) II alpha,3343.3327367510046,2.3316243496165976,0.2262230327503666,10.30675047217454,6.568480535090259e-25,4.60028226046857e-22,1242,933,6085,5250
