gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD8_S38_L002,53-CD8_S40_L002,57-CD8-B_S47_L002,58-CD8-B_S51_L002,60-CD8-B_S55_L002
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),2064.9973218119767,6.7608506625337945,0.3500793083177124,19.312340095227864,4.229668609238863e-83,3.7377581499843836e-79,46,34,2497,2134,4498
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,16812.01813664572,6.697340211723706,0.3519672928997196,19.02830276230204,9.942093866517175e-81,4.392914174920614e-77,456,222,21936,15333,38032
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,21433.25194383844,4.72172349984995,0.27011577325545094,17.480369409544156,2.0218497889393446e-68,5.955695528285663e-65,1873,1475,25219,22100,45491
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,7708.417950871519,4.64125421278268,0.2706089780968582,17.151146445412657,6.162462771974126e-66,1.3614420878983837e-62,759,511,9909,7909,15549
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,13799.673062420312,3.1751688693984796,0.21167671445522945,15.000085756102576,7.332452655128662e-51,1.2959376822674397e-47,3471,2538,19656,13066,24684
ENSMUSG00000052837,Junb,16477,jun B proto-oncogene,28975.66876698949,2.5942563364361724,0.19324122262238413,13.424963375985524,4.3179777727479926e-41,6.359661596295668e-38,8641,9669,41201,24295,52153
ENSMUSG00000023034,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1",3369.237203989783,3.4854416971475666,0.2654005609878632,13.13275934374139,2.1372438263526835e-39,2.698117670496952e-36,667,533,4054,3471,6547
ENSMUSG00000026358,Rgs1,50778,regulator of G-protein signaling 1,1998.4143914228707,4.162248937312101,0.3400958755731836,12.238457553468468,1.9367830593195854e-34,2.139418986900897e-31,251,204,4524,1455,2905
ENSMUSG00000011179,Odc1,18263,"ornithine decarboxylase, structural 1",3081.692226446746,1.7128505031954244,0.14220193985526636,12.045197870990858,2.055825074926087e-33,2.0185917985690925e-30,1642,1666,4248,2731,4409
ENSMUSG00000055170,Ifng,15978,interferon gamma,1869.154455230001,5.607081182152911,0.467073492789834,12.004708613759618,3.3564395563359724e-33,2.966085635934099e-30,87,73,2962,958,4751
ENSMUSG00000044786,Zfp36,22695,zinc finger protein 36,15590.966071481624,2.0215746592620096,0.17134273658337495,11.798426356277533,3.976786662789272e-32,3.1948057944607995e-29,6958,7006,18880,15121,25073
ENSMUSG00000038418,Egr1,13653,early growth response 1,5171.5320057298395,2.542611305945417,0.241576384177191,10.525082220290487,6.620362172323731e-26,4.8753450430687344e-23,1926,1438,6294,6257,7435
ENSMUSG00000030156,Cd69,12515,CD69 antigen,4322.178286230188,2.3211641042449394,0.2243948414217015,10.344106350835464,4.450489604523271e-25,3.025305895013242e-22,1570,1662,5107,4096,7710
ENSMUSG00000020205,Phlda1,21664,"pleckstrin homology like domain, family A, member 1",376.5601901244188,3.2254602115762214,0.3125981095443403,10.318233262119929,5.828577009603777e-25,3.6790810738477555e-22,84,75,603,389,565
ENSMUSG00000052102,Gnpda1,26384,glucosamine-6-phosphate deaminase 1,306.2083144679959,4.388442971726881,0.43361386981916966,10.120624078646276,4.475527326099573e-24,2.6366823320494617e-21,27,33,448,420,402
ENSMUSG00000026864,Hspa5,14828,heat shock protein 5,12731.8554298507,1.4033183920556105,0.14296859028674513,9.815571303046656,9.64898668367197e-23,5.3292559577255747e-20,8438,7829,17257,10260,17988
ENSMUSG00000028560,Usp1,230484,ubiquitin specific peptidase 1,394.9137513486005,-2.9825204159813397,0.30541314321493773,-9.765527392127847,1.5828629041387134e-22,8.228093814043418e-20,1051,1056,98,77,101
