gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,55-CD4_S41_L002,56-CD4_S43_L002,SRR6927754,SRR6927756
ENSMUSG00000091971,Hspa1a,193740,heat shock protein 1A,3770.4713300652943,8.162503915161997,0.38211114501663457,21.361596021510067,3.042368848296883e-101,2.980912997561286e-97,11221,9899,15,25
ENSMUSG00000029580,Actb,11461,"actin, beta",35239.563851732506,-5.756789303704157,0.28372197372004193,-20.29024833086977,1.5680121043730207e-91,7.681691299323429e-88,1906,1693,27964,87005
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,2376.9715742736194,5.856532466570202,0.3220044261744411,18.187739020076428,6.454851336579834e-74,2.1081544465269738e-70,5207,8230,40,85
ENSMUSG00000058558,Rpl5,100503670,ribosomal protein L5,20295.062288751244,-7.078493889342464,0.39505618863938036,-17.91768890830852,8.582009146971885e-72,2.102163140550763e-68,405,440,12131,60768
ENSMUSG00000003970,Rpl8,26961,ribosomal protein L8,7130.755066129036,-5.280649151455358,0.30423080274955844,-17.357378357911927,1.7346547136460155e-67,2.832691147383943e-64,465,552,7697,12421
ENSMUSG00000060938,Rpl26,19941,ribosomal protein L26,1351.4614721970227,-5.849658062840821,0.3582670538798448,-16.327647210347934,6.275832765427677e-60,7.686326179457548e-57,61,70,958,3622
ENSMUSG00000046330,Rpl37a,19981,ribosomal protein L37a,5374.121425636816,-6.857757518800418,0.42363430776731303,-16.18791819515981,6.136999047207613e-59,6.681146296060022e-56,96,169,3300,15849
ENSMUSG00000078193,Gm2000,100038991,ribosomal protein L35 pseudogene,5295.004885905413,-4.395006592689563,0.27519247310038614,-15.970664252456968,2.0459539334141662e-57,2.0046256639592e-54,712,640,5063,10330
ENSMUSG00000037742,Eef1a1,13627,eukaryotic translation elongation factor 1 alpha 1,79232.36585419413,-7.29491309046199,0.4592013250337828,-15.886088939149541,7.911206323154014e-57,7.04672723220573e-54,1886,867,63752,197686
ENSMUSG00000004105,Angptl2,26360,angiopoietin-like 2,926.2902326491525,5.2521771699805075,0.3389723122273946,15.494413497870474,3.783980449087369e-54,3.0896200366798367e-51,2392,2730,26,46
ENSMUSG00000063457,Rps15,20054,ribosomal protein S15,12895.033954867637,-8.476973396047319,0.5544356745511818,-15.289372212402217,9.0013656143892785e-53,6.784260022291242e-50,39,175,10431,32243
ENSMUSG00000035242,Oaz1,18245,ornithine decarboxylase antizyme 1,4627.583085770529,3.737193510472367,0.2571452671735245,14.53339410657116,7.443880602357338e-48,5.209653010135514e-45,10376,14254,270,786
ENSMUSG00000014769,Psmb1,19170,"proteasome (prosome, macropain) subunit, beta type 1",1374.7275786195692,-3.5566566938307562,0.24719920110543722,-14.387816295222349,6.171387436493669e-47,3.8127849476970786e-44,282,330,1195,2770
ENSMUSG00000090733,Rps27,57294,ribosomal protein S27,5709.254851621735,-3.660607535720614,0.25443494435014363,-14.387204340466008,6.226225674949301e-47,3.8127849476970786e-44,1131,1241,5440,10471
ENSMUSG00000000290,Itgb2,16414,integrin beta 2,3552.9886389667186,-4.067772960377141,0.2865859209912713,-14.193903686221333,9.993710902241316e-46,5.43990996778669e-43,567,563,2632,8621
